segment_id,city_name,admin_ward,latitude,longitude,elevation_m,drainage_density_km_per_km2,storm_drain_proximity_m,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels,land_use_Commercial,land_use_Green,land_use_Industrial,land_use_Informal,land_use_Institutional,land_use_Mixed,land_use_Residential,land_use_Roads,land_use_Water,soil_group_A,soil_group_B,soil_group_C,soil_group_D,storm_drain_type_CurbInlet,storm_drain_type_GratedInlet,storm_drain_type_Manhole,storm_drain_type_OpenChannel,is_monitor
SEG-00001,"Colombo, Sri Lanka",Borough East,-0.5105298591055698,0.6065264452600281,0.02996308824102837,-0.9718974230258618,0.5058092535445233,-0.15746232850883637,1.835129649896527,monitor,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
SEG-00002,"Chennai, India",Ward D,-0.25867628618801025,0.6111684466792774,-1.1416904490702218,0.6008426765303867,0.0711010088163934,0.6128126708808069,0.4411875988702223,ponding_hotspot|low_lying|event_2025-05-02,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
SEG-00003,"Ahmedabad, India",Sector 12,0.14811967576451063,0.5150627440035724,-0.17010671487750512,2.2649652283544293,0.412568735222377,-1.1800687932157765,-0.6739660419508215,monitor,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
SEG-00004,"Hong Kong, China",Sector 14,0.11879043522843162,1.0361313452697136,-0.3640121471627161,0.4950314160097829,-0.9335912480536102,1.507039969022807,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
SEG-00005,"Durban, South Africa",Sector 5,-2.0164599051299175,-0.00962057378648057,-0.028496990087396316,-0.8612765597543212,2.0431122993809105,-0.9808597416494895,-0.6739660419508215,monitor,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
SEG-00006,"Bangkok, Thailand",Borough Harbor,-0.23192881056471018,0.8646589382411627,-0.6260782768572741,1.288615869914312,-1.0151767015854882,2.5329665845891847,1.835129649896527,extreme_rain_history,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
SEG-00007,"Nairobi, Kenya",Ward J,-0.8498879727930686,0.06355372436370677,-0.61315124803826,0.942324471846881,-0.8636608593120004,-0.1618891963214206,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
SEG-00008,"Bangkok, Thailand",Zone X,-0.23126937713950468,0.8651922904658597,-0.48740651316239597,-0.1975513801250789,-1.002356130316193,1.3963682737082028,-0.3951776317455606,monitor,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
SEG-00009,"Washington DC, USA",Sector 12,0.7966445059729942,-1.3652503742980324,-1.0717669750037366,0.7210827453038001,0.4218927870545918,0.6747888202569854,-0.3951776317455606,low_lying|event_2024-02-14,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SEG-00010,"Vancouver, Canada",Sector 5,1.2272137425140253,-1.9474079048636441,-0.5176675124432698,5.884174813409873e-05,-0.7855719252172029,-1.0118478163375786,-0.6739660419508215,monitor,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
